,company,salary,title
1016,WestLAND Group,,DIRECTOR OF PIPELINE ENGINEERING
1017,Diamond Z Engineering,,AUTOCAD DESIGNER
1018,University of Texas at San Antonio,,Assistant/Associate Professor (Biomedical Engineering and Ch...
1019,University of Louisiana Lafayette,,Postdoctoral Researcher
1020,University of Texas at Arlington,,"Research Engineering Scientist Associate I-Houston, TX {S026..."
1021,Kinder Morgan,,Technician-Telecom - Brentwood
1022,Wawa,,Construction Bid Project Manager
1023,U.S. Army,"Up to $79,000 a year",Government entry level
1024,Merichem,,Sr. Process Engineer
1025,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
1026,Phillips 66,,Refinery Inspector - Billings Refinery
1027,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
1028,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
1029,US Department of Agriculture,"$34,916 - $68,777 a year",Engineering Technician
1030,State of Ohio Jobs,$33.84 an hour,Electrical Engineering Specialist (Energy Specialist)
1031,Fluor Federal Petroleum Operations,,Project Controls Specialist
1032,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
1033,Barrios Technology,,Writing Services Management Specialist
1034,IPA,,Project Analyst (North America)
1035,Englobal Master,,Process Engineer VIII
1036,Kinder Morgan,,Specialist Right of Way - Pipelines
1037,PBF Energy,,Process Engineer
1038,California Resources Corporation,,Operations Engineer
1039,Guttman Energy,,Oil and Gas Operations Supervisor
1040,Colonial Pipeline Company,,Associate Pipeline Operator
1041,Marathon Petroleum Corporation,,Designer/Drafter
1042,Chevron,,Hydroprocessing Proposals Engineer
1043,Phillips 66,,Refinery Inspector - Billings Refinery
1044,Cameron LNG LLC,,Field Level Training & Competency Specialist (MTC & ENG)
1045,Knife River - Western Oregon Division,$22.15 an hour,QUALITY CONTROL TECHNICIAN
1046,US Department of Agriculture,"$34,916 - $68,777 a year",Engineering Technician
1047,State of Ohio Jobs,$33.84 an hour,Electrical Engineering Specialist (Energy Specialist)
1048,Fluor Federal Petroleum Operations,,Project Controls Specialist
1049,Energy Transfer Family of Partnerships,,Engineer - Pipeline Integrity East
1050,Barrios Technology,,Writing Services Management Specialist
1051,IPA,,Project Analyst (North America)
1052,Englobal Master,,Process Engineer VIII
1053,Kinder Morgan,,Specialist Right of Way - Pipelines
1054,PBF Energy,,Process Engineer
1055,California Resources Corporation,,Operations Engineer
1056,Merichem,,Sr. Process Engineer
1057,University of Alaska,,College of Engineering & Mines - Temporary Faculty (Credit)...
1058,Seeq Corporation,,Analytics Engineers - Industrial Experience - Virtual/Remote
1059,U.S. Army,"Up to $79,000 a year",Government entry level
1060,RaceTrac,,Engineering Project Manager
