,company,salary,title
1319,Honeywell,,Chemical Operator - Level 1
1320,RDM Industrial Electronics,$25.03 - $32.15 an hour,Electronics Technician
1321,TEAM Inc.,,UR - Engineering - FT
1322,Hilcorp Energy Company,,Facilities Engineer
1323,Citgo,,CC Maintenance Supervisor
1324,California Resources Corporation,,Operations Engineer
1325,Citgo,,Associate Mechanical Engineer
1326,National Renewable Energy Laboratory,"$68,000 - $112,200 a year",Postdoctoral Researcher – Process modeling and sustainabilit...
1327,Rhode Island Air National Guard,$100 - $300 a day,Fuels
1328,Xylem,,XLI Field Technician
1329,WSP USA,,Petroleum Fuel Storage Tank Specialist
1330,Axens North America,,Technology Engineer
1331,Kinder Morgan,,Operations Specialist
1332,"Earth Systems, Inc.",,Entry Level Environmental Engineer
1333,Wood Mackenzie,,Senior Research Analyst - Oil & NGL Markets
1334,Nobis Group,,Environmental Intern
1335,Air Force Reserve,,Chemist/Nuclear Chemist
1336,Marathon Petroleum Corporation,,Instrument Engineer
1337,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
1338,Fiedler Group,,Project Engineer (Civil Engineering)
1339,Oil and Gas Solutions,"$85,000 - $125,000 a year",Pipeline Corrosion Engineer-Permian Basin
1340,aramcoservices,,Safety and Facilities Planning Specialist
1341,Trident Engineering & Inspection,,Mechanical Engineer
1342,WSP USA,,Petroleum Fuel Storage Tank Specialist
1343,Axens North America,,Technology Engineer
1344,Kinder Morgan,,Operations Specialist
1345,"Earth Systems, Inc.",,Entry Level Environmental Engineer
1346,Wood Mackenzie,,Senior Research Analyst - Oil & NGL Markets
1347,Fluor Federal Petroleum Operations,,Civil Superintendent
1348,Nobis Group,,Environmental Intern
1349,Air Force Reserve,,Chemist/Nuclear Chemist
1350,Marathon Petroleum Corporation,,Instrument Engineer
1351,US Department of the Air Force,"$72,750 - $94,581 a year",ENGINEERING TECHNICIAN
1352,Fiedler Group,,Project Engineer (Civil Engineering)
1353,aramcoservices,,Safety and Facilities Planning Specialist
1354,Trident Engineering & Inspection,,Mechanical Engineer
1355,Jereh North American Group,"$50,000 - $75,000 a year",Manufacturing Process Engineer
1356,Merichem,,Sr. Process Engineer
